sweater,clothes,0.8421052631578947,"[{""name"": ""sweater"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""sweater"", ""classification"": ""allowed"", ""info"": """"}]"
gun,weapon,0.9473684210526315,"[{""name"": ""gunpowder"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}, {""name"": ""bolt gun "", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}, {""name"": ""stun gun"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.\nThis item is allowed in your hold baggage that is checked-in at the bag-drop counter before security. A person carrying this item after the airport security checkpoint is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned. \n""}, {""name"": ""toy gun"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.\nThis item is allowed in your hold baggage that is checked-in at the bag-drop counter before security. A person carrying this item after the airport security checkpoint is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned. \n""}, {""name"": ""compressed air gun"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}, {""name"": ""co2 gun "", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}, {""name"": ""shotgun"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}, {""name"": ""pellet gun"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}, {""name"": ""spear gun"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]","[{""name"": ""firearm"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]"
axe,weapon,0.5714285714285714,"[{""name"": ""axe"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]","[{""name"": ""axe"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]"
towel,napkin,0.5263157894736842,[],"[{""name"": ""toy"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""toy gun"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.\nThis item is allowed in your hold baggage that is checked-in at the bag-drop counter before security. A person carrying this item after the airport security checkpoint is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned. \n""}]"
credit card,cash,0,[],[]
shoes,socks,0,[],[]
tablet,iPad,0,"[{""name"": ""tablet"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nElectronic devices larger than 15 x 21 cm, including laptops, full-size video-game consoles, full-size DVD players... must be removed from their cases, placed in a separate bin, and screened individually at the security checkpoint. Portable electronic items that are smaller than 15 x 21 cm, do not have to be removed from baggage during screening. \n""}]","[{""name"": ""tablet"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nElectronic devices larger than 15 x 21 cm, including laptops, full-size video-game consoles, full-size DVD players... must be removed from their cases, placed in a separate bin, and screened individually at the security checkpoint. Portable electronic items that are smaller than 15 x 21 cm, do not have to be removed from baggage during screening. \n""}]"
smartphone,iPhone,0,[],[]
phone,smartphone,0,"[{""name"": ""cell phone"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""earphone"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""phone charger"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""headphones"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nElectronic devices larger than 15 x 21 cm, including laptops, full-size video-game consoles, full-size DVD players... must be removed from their cases, placed in a separate bin, and screened individually at the security checkpoint. Portable electronic items that are smaller than 15 x 21 cm, do not have to be removed from baggage during screening. \n""}]","[{""name"": ""ipod"", ""classification"": ""allowed"", ""info"": """"}]"
laptop,computer,0.8181818181818182,"[{""name"": ""laptop"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nElectronic devices larger than 15 x 21 cm, including laptops, full-size video-game consoles, full-size DVD players... must be removed from their cases, placed in a separate bin, and screened individually at the security checkpoint. Portable electronic items that are smaller than 15 x 21 cm, do not have to be removed from baggage during screening. \n""}]","[{""name"": ""laptop"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nElectronic devices larger than 15 x 21 cm, including laptops, full-size video-game consoles, full-size DVD players... must be removed from their cases, placed in a separate bin, and screened individually at the security checkpoint. Portable electronic items that are smaller than 15 x 21 cm, do not have to be removed from baggage during screening. \n""}]"
tablet,computer,0.5882352941176471,"[{""name"": ""tablet"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nElectronic devices larger than 15 x 21 cm, including laptops, full-size video-game consoles, full-size DVD players... must be removed from their cases, placed in a separate bin, and screened individually at the security checkpoint. Portable electronic items that are smaller than 15 x 21 cm, do not have to be removed from baggage during screening. \n""}]","[{""name"": ""tablet"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nElectronic devices larger than 15 x 21 cm, including laptops, full-size video-game consoles, full-size DVD players... must be removed from their cases, placed in a separate bin, and screened individually at the security checkpoint. Portable electronic items that are smaller than 15 x 21 cm, do not have to be removed from baggage during screening. \n""}]"
macbook,computer,0,[],[]
juice,liquid,0.46153846153846156,"[{""name"": ""fruit juice"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\nAll of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\nAll of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]","[{""name"": ""bread"", ""classification"": ""allowed"", ""info"": """"}]"
oreo,biscuit,0.6666666666666666,[],"[{""name"": ""cookie"", ""classification"": ""allowed"", ""info"": """"}]"
cash,money,0.8,"[{""name"": ""cash"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""cash"", ""classification"": ""allowed"", ""info"": """"}]"
coins,money,0,[],[]
knife,axe,0.9166666666666666,[],"[{""name"": ""cleaver"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]"
chips,food,0.7142857142857143,"[{""name"": ""chips"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""chips"", ""classification"": ""allowed"", ""info"": """"}]"
shampoo,dry shampoo,0,"[{""name"": ""dry shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}, {""name"": ""shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]","[{""name"": ""dry shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}, {""name"": ""shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]"
hand sanitizer,liquid,0,"[{""name"": ""hand sanitizer"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\nAll of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\nAll of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]",[]
sweater,pull-over,0,"[{""name"": ""sweater"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""sweater"", ""classification"": ""allowed"", ""info"": """"}]"
bobby pin,hairpin,0,"[{""name"": ""bobby pin"", ""classification"": ""allowed"", ""info"": """"}]",[]
digital watch,watch,0,"[{""name"": ""digital watch"", ""classification"": ""allowed"", ""info"": """"}]",[]
flower,plant,0.42105263157894735,"[{""name"": ""flower"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""flower"", ""classification"": ""allowed"", ""info"": """"}]"
dry cell battery,battery,0,"[{""name"": ""dry cell battery"", ""classification"": ""allowed"", ""info"": """"}]",[]
paracetamol,medication,0,[],[]
cough syrup,liquid medication,0,[],[]
rope,cord,0.8571428571428571,"[{""name"": ""rope"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""rope"", ""classification"": ""allowed"", ""info"": """"}]"
sanitary napkin,feminine pad,0,[],[]
sanitary pad,feminine pad,0,"[{""name"": ""sanitary pad"", ""classification"": ""allowed"", ""info"": """"}]",[]
nuts,snack,0,"[{""name"": ""nuts"", ""classification"": ""allowed"", ""info"": """"}]",[]
pencil,pen,0.8888888888888888,"[{""name"": ""lip pencil"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""bottle opener"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""lip pencil"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""pen"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""epipens"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nSyringes for medical purposes are allowed through security but you must always carry a medical certificate stating the diagnosis and the required medication. Present this item and certificate at the security checkpoint.\n""}, {""name"": ""turpentine "", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]"
tissues,napkin,0,[],[]
marker,marker pen,0,[],"[{""name"": ""toy"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""toy gun"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.\nThis item is allowed in your hold baggage that is checked-in at the bag-drop counter before security. A person carrying this item after the airport security checkpoint is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned. \n""}]"
scotch,scotch tape,0,[],[]
adhesive tape,tape,0,[],[]
scotch,tape,0.125,[],[]
toothpaste,toiletries,0,"[{""name"": ""toothpaste"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]","[{""name"": ""toothpaste"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]"
toothbrush,toiletries,0,"[{""name"": ""electronic toothbrush"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""toothbrush"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""electronic toothbrush"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""toothbrush"", ""classification"": ""allowed"", ""info"": """"}]"
comb,toiletries,0,[],"[{""name"": ""key"", ""classification"": ""allowed"", ""info"": """"}]"
water,liquid,0.47058823529411764,"[{""name"": ""empty water bottle"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""salt"", ""classification"": ""allowed"", ""info"": """"}]"
shampoo,liquid,0.4444444444444444,"[{""name"": ""dry shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}, {""name"": ""shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]","[{""name"": ""dry shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}, {""name"": ""shampoo"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]"
shower gel,liquid,0,[],[]
shower gel,soap,0,[],[]
pen,pencil,0.8888888888888888,"[{""name"": ""bottle opener"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""lip pencil"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""pen"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""epipens"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nSyringes for medical purposes are allowed through security but you must always carry a medical certificate stating the diagnosis and the required medication. Present this item and certificate at the security checkpoint.\n""}, {""name"": ""turpentine "", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]","[{""name"": ""bottle opener"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""lip pencil"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""pen"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""epipens"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nSyringes for medical purposes are allowed through security but you must always carry a medical certificate stating the diagnosis and the required medication. Present this item and certificate at the security checkpoint.\n""}, {""name"": ""turpentine "", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]"
book,magazine,0.9,"[{""name"": ""blank checkbook"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""book"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""blank checkbook"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""book"", ""classification"": ""allowed"", ""info"": """"}]"
book,paper,0.25,"[{""name"": ""blank checkbook"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""book"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""blank checkbook"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""book"", ""classification"": ""allowed"", ""info"": """"}]"
magazine,newspaper,0.9,[],"[{""name"": ""blank checkbook"", ""classification"": ""allowed"", ""info"": """"}, {""name"": ""book"", ""classification"": ""allowed"", ""info"": """"}]"
water,drink,0.26666666666666666,"[{""name"": ""empty water bottle"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""salt"", ""classification"": ""allowed"", ""info"": """"}]"
juice,drink,0.14285714285714285,"[{""name"": ""fruit juice"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\nAll of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\nAll of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]","[{""name"": ""bread"", ""classification"": ""allowed"", ""info"": """"}]"
snack,food,0.7692307692307693,[],"[{""name"": ""pizza"", ""classification"": ""allowed"", ""info"": """"}]"
snack,food,0.7692307692307693,[],"[{""name"": ""pizza"", ""classification"": ""allowed"", ""info"": """"}]"
crisps,snack,0,[],[]
nuts,food,0,"[{""name"": ""nuts"", ""classification"": ""allowed"", ""info"": """"}]",[]
nuts,snack,0,"[{""name"": ""nuts"", ""classification"": ""allowed"", ""info"": """"}]",[]
candy,food,0.7142857142857143,"[{""name"": ""candy"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""candy"", ""classification"": ""allowed"", ""info"": """"}]"
candy,snack,0.7058823529411765,"[{""name"": ""candy"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""candy"", ""classification"": ""allowed"", ""info"": """"}]"
chocolate,food,0.8333333333333334,"[{""name"": ""chocolate"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""chocolate"", ""classification"": ""allowed"", ""info"": """"}]"
chocolate,snack,0.6666666666666666,"[{""name"": ""chocolate"", ""classification"": ""allowed"", ""info"": """"}]","[{""name"": ""chocolate"", ""classification"": ""allowed"", ""info"": """"}]"
candy bar,food,0,[],[]
candy bar,snack,0,[],[]
knife,tool,0.8,[],"[{""name"": ""cleaver"", ""classification"": ""prohibited"", ""info"": ""Your item is prohibited to take with you past the airport security checkpoint.The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned.""}]"
pocket knife,tool,0,[],[]
nailclippers,toiletries,0,[],[]
nailclippers,tool,0,[],[]
tweezers,tolietries,0,"[{""name"": ""tweezers"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to carry-on small tools like nail clippers, pill cutters, and small scissors with blades measuring 6 cm (2 inches) or less from the pivot point. All other tools should be securely wrapped (if sharp) and packed in checked baggage. \n""}]",[]
tweezers,tool,0,"[{""name"": ""tweezers"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to carry-on small tools like nail clippers, pill cutters, and small scissors with blades measuring 6 cm (2 inches) or less from the pivot point. All other tools should be securely wrapped (if sharp) and packed in checked baggage. \n""}]",[]
earplugs,headphones,0,[],[]
contact lens solution,lens solution,0,"[{""name"": ""contact lens solution"", ""classification"": ""warning"", ""info"": ""Your item is permitted past the security checkpoint but certain instructions need to be kept in mind!\nYou are allowed to bring liquids, aerosols and gels, but they need to meet the following  restrictions:\n All of your liquids need to be in containers, smaller than 100 ml (3.4 oz)\n All of them together should fit inside a transparent, re-sealable, airtight bag, no bigger than 1 liter (34 oz). This transparent bag needs to be presented separately during security screening.\nThis restriction does not apply to liquids that were purchased in the airside shops and packed in a security tamper-evident bag.\n""}]",[]
